id,label,modularity_class,eccentricity,closness_centrality,harmonic_closness_centrality,betweeness_centrality,eigen_centrality,pageranks,clustering_coefficient,triangles
n54,analyst,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n55,balances,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n56,closer,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n57,commercial,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n58,desired,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n59,extracted,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n60,fashion,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n61,fields,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n62,financial,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n63,follow,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n64,gaining,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n65,hottest,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n66,increase,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n67,jobs,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n68,quantitative,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n69,scientist,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n70,story,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n71,aspects,0,4,0.351042367,0.385855683,0,0.105124191,0.001741405,1,171
n72,ads,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n73,placing,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n74,scoring,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n75,trading,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n76,analytics,2,4,0.435,0.477490421,0.007023785,0.388382321,0.002738935,0.497866287,350
n77,searching,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n78,stock,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n79,xseries,3,3,0.444255319,0.481162197,0.008654593,0.288724073,0.002680409,0.541269841,341
n80,derive,3,4,0.405279503,0.44811622,0.003301575,0.276977025,0.002707683,0.541269841,341
n81,role,6,4,0.415605096,0.462643678,0.012514095,0.30314623,0.002833226,0.489331437,344
n82,algorithms,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n83,growing,3,3,0.444255319,0.481162197,0.008654593,0.288724073,0.002680409,0.541269841,341
n84,play,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n85,principles,1,4,0.3933685,0.439335888,0.003207699,0.288730708,0.00279695,0.515015015,343
n86,credit,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n87,field,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n88,science,3,3,0.464412811,0.509578544,0.025378549,0.441176117,0.003918021,0.350841751,521
n89,essential,3,4,0.383259912,0.416666667,0,0.171821174,0.001536562,1,171
n90,clear,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n91,explanations,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n92,forecast,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n93,scenarios,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n94,validating,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n95,models,1,4,0.437552389,0.479725415,0.025942955,0.320320901,0.00279618,0.489331437,344
n96,combined,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n97,deploying,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n98,azure,2,3,0.429276316,0.475095785,0.011854282,0.38056279,0.003361522,0.444958372,481
n99,outcomes,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n100,behaviors,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n101,building,1,3,0.414614774,0.454980843,0.005941779,0.27306074,0.002828963,0.513513514,342
n102,existing,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n103,insights,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n104,computers,1,4,0.378809869,0.410600255,0,0.156645418,0.001569626,1,171
n105,trends,4,4,0.399387911,0.445402299,0.032234097,0.224822889,0.003006208,0.486486486,342
n106,pipelines,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n107,statistics,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n108,spark,2,3,0.459507042,0.514048531,0.028954781,0.600059903,0.004722169,0.308604039,703
n109,component,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n110,processing,2,4,0.385239852,0.432790549,0.003102949,0.305769054,0.002811244,0.517780939,364
n111,statistical,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
